"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","county","city_name","postal_code","lat_coords","long_coords","county","city_name","postal_code","lat_coords","long_coords","county","city_name","postal_code","lat_coords","long_coords"
"P3","Assynt Foundation","Glencanisp Lodge Redevelopment","ERDF","231221","N/A","1389543","N/A","N/A","Scotland","Highland and Islands","Second","Sutherland","Lairg","IV27 4LW","58.1476532","-5.202719","","","","","","","","","","","","","","",""
"P3","Voluntary Action Lewis","Lewis Social Business Campus - Phase1","ERDF","25000","N/A","148500","N/A","N/A","Scotland","Highland and Islands","Second","South Ayrshire","Ayr","KA8 8AG","55.4683371","-4.6328353","","","","","","","","","","","","","","",""
"P1","Shetland Islands Council","Promoting Business Energy Efficiency in Shetland","ERDF","266700","N/A","666700","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LZ","60.1589445","-1.1462202","","","","","","","","","","","","","","",""
"P3","Shetland College","Shetland College Extension - Phase 3","ERDF","1809000","N/A","4622500","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0PX","60.1702111","-1.1647376","","","","","","","","","","","","","","",""
"P3","Shetland Islands Council","Fetlar Berthing Facility","ERDF","300000","N/A","1200000","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LZ","60.1589445","-1.1462202","","","","","","","","","","","","","","",""
"P3","Shetland Islands Council","Skerries South Mouth Dredging","ERDF","51034","N/A","241684","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LZ","60.1589445","-1.1462202","","","","","","","","","","","","","","",""
"P3","Shetland Islands Council","Shetland Fibre Optic Network","ERDF","367500","N/A","1470000","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LZ","60.1589445","-1.1462202","","","","","","","","","","","","","","",""
"P3","Shetland Islands Council","Walls Pier Developments, Shetland","ERDF","94086","N/A","431586","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LZ","60.1589445","-1.1462202","","","","","","","","","","","","","","",""
"P3","Shetland Islands Council","Shetland's Community Transport Scheme","ERDF","17865","N/A","44663","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LZ","60.1589445","-1.1462202","","","","","","","","","","","","","","",""
"P1","Lerwick Port Authority","Rova Head laydown sites","ERDF","515315","N/A","1288288","N/A","N/A","Scotland","Highland and Islands","First","Shetland Islands","Shetland","ZE1 0LL","60.155155","-1.1434003","","","","","","","","","","","","","","",""
"P3","Hjaltland Housing Association Ltd","Low Carbon Shetland - Energy Efficiency","ERDF","639667","N/A","1622449","N/A","N/A","Scotland","Highland and Islands","Second","Shetland Islands","Shetland","ZE1 0LR","60.1561426","-1.1451992","","","","","","","","","","","","","","",""
"P1","Skills Development Scotland","Skills for Growth - H&I","ERDF","40820","N/A","102049","N/A","N/A","Scotland","Highland and Islands","Second","Scottish Borders","Galashiels","TD1 1QA","55.6221714","-2.8210352","","","","","","","","","","","","","","",""
"P2","University of the Highlands and Islands","UHI SDB Plan ERDF Phase 2","ERDF","3500000","N/A","8750000","N/A","N/A","Scotland","Highland and Islands","First","Perth and Kinross","Perth","PH1","56.4063083","-3.4626449","","","","","","","","","","","","","","",""
"P2","University of the Highlands and Islands","UHI SDB Plan - ERDF Revenue","ERDF","2469977","N/A","6084574","N/A","N/A","Scotland","Highland and Islands","First","Perth and Kinross","Perth","PH1","56.4063083","-3.4626449","","","","","","","","","","","","","","",""
